car_id,year,make,model_trim,status,year_scope_used,window,basis,n,thin,median,p25,p75,min,max
37,1989,"Ferrari Testarossa",compare,adjacent years pooled (1987-1991),W2,mixed (25% house buyer-paid, rest sold+fee),4,yes,,,,,
37,1989,"Ferrari Testarossa",compare,adjacent years pooled (1987-1991),W3,mixed (25% house buyer-paid, rest sold+fee),53,no,160500,130200,209722,105000,472500
38,1991,"Ferrari 348 TS",compare,adjacent years pooled (1989-1993),W1,mixed (10% house buyer-paid, rest sold+fee),18,no,83738,69525,86494,58800,197500
38,1991,"Ferrari 348 TS",compare,adjacent years pooled (1989-1993),W2,mixed (10% house buyer-paid, rest sold+fee),2,yes,,,,,
38,1991,"Ferrari 348 TS",compare,adjacent years pooled (1989-1993),W3,mixed (10% house buyer-paid, rest sold+fee),31,no,76650,67963,86363,58800,197500
39,1985,"Ferrari 308 GTS QV",compare,adjacent years pooled (1983-1987),W1,n/a,0,yes,,,,,
39,1985,"Ferrari 308 GTS QV",compare,adjacent years pooled (1983-1987),W2,n/a,0,yes,,,,,
39,1985,"Ferrari 308 GTS QV",compare,adjacent years pooled (1983-1987),W3,n/a,0,yes,,,,,
40,1991,"BMW M3",compare,adjacent years pooled (1989-1991),W1,mixed (9% house buyer-paid, rest sold+fee),21,no,65100,60666,93450,34650,198500
40,1991,"BMW M3",compare,adjacent years pooled (1989-1991),W2,mixed (9% house buyer-paid, rest sold+fee),7,yes,,,,,
40,1991,"BMW M3",compare,adjacent years pooled (1989-1991),W3,mixed (9% house buyer-paid, rest sold+fee),35,no,67200,58800,84263,34650,246400
41,1988,"BMW M5",compare,exact 1988,W1,sold+fee (online),15,no,50925,39113,66938,26250,190500
41,1988,"BMW M5",compare,exact 1988,W2,sold+fee (online),2,yes,,,,,
41,1988,"BMW M5",compare,exact 1988,W3,sold+fee (online),29,no,41475,33600,68250,16648,190500
42,1995,"BMW M3",compare,exact 1995,W1,mixed (11% house buyer-paid, rest sold+fee),34,no,30495,23691,89513,7350,297000
42,1995,"BMW M3",compare,exact 1995,W2,mixed (11% house buyer-paid, rest sold+fee),8,no,38063,30450,54929,15488,257600
42,1995,"BMW M3",compare,exact 1995,W3,mixed (11% house buyer-paid, rest sold+fee),71,no,30189,21106,51858,7350,297000
43,1989,"Mercedes-Benz 560SL",compare,exact 1989,W1,mixed (8% house buyer-paid, rest sold+fee),22,no,30232,19819,44888,7455,120400
43,1989,"Mercedes-Benz 560SL",compare,exact 1989,W2,mixed (8% house buyer-paid, rest sold+fee),20,no,36882,31500,42394,14700,142800
43,1989,"Mercedes-Benz 560SL",compare,exact 1989,W3,mixed (8% house buyer-paid, rest sold+fee),50,no,34965,22313,42171,7455,142800
44,1992,"Mercedes-Benz 500E",compare,exact 1992,W1,sold+fee (online),15,no,8400,7246,10290,2625,33075
44,1992,"Mercedes-Benz 500E",compare,exact 1992,W2,sold+fee (online),5,yes,,,,,
44,1992,"Mercedes-Benz 500E",compare,exact 1992,W3,sold+fee (online),32,no,8558,6983,10828,2625,33075
45,1994,"Toyota Supra Turbo",compare,exact 1994,W1,sold+fee (online),9,no,111825,77700,145950,59325,151200
45,1994,"Toyota Supra Turbo",compare,exact 1994,W2,sold+fee (online),2,yes,,,,,
45,1994,"Toyota Supra Turbo",compare,exact 1994,W3,sold+fee (online),20,no,86298,70875,133088,59325,152250
46,1993,"Mazda RX-7",compare,exact 1993,W1,sold+fee (online),16,no,41740,35701,46069,26513,72450
46,1993,"Mazda RX-7",compare,exact 1993,W2,sold+fee (online),3,yes,,,,,
